Country,Total investment,"Inflation, average consumer prices","Inflation, end of period consumer prices",Six-month London interbank offered rate (LIBOR),Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Unemployment rate,Employment,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government structural balance,General government primary net lending/borrowing,General government net debt,General government gross debt,Current account balance,"Gross domestic product, constant prices"
Afghanistan,18.192,114.264,116.300,,-7.862,-5.758,-5.116,0.068,,,37.209,395.923,411.473,-15.550,,-14.971,,90.092,2.209,"1,319.902"
Albania,22.752,106.878,107.103,,4.721,3.461,1.699,-8.454,11.500,,2.870,460.314,493.165,-32.851,,2.291,"1,000.201","1,137.099",-1.166,839.449
Algeria,42.658,206.200,207.900,,-0.027,1.758,-3.636,-5.125,11.383,,43.424,"6,586.500","7,725.477","-1,138.977",,"-1,263.335","6,167.007","9,349.221",-17.112,"7,527.523"
Angola,19.786,352.664,381.299,,-11.289,-7.894,0.227,0.496,,,30.128,"6,529.102","6,270.786",258.316,365.929,"1,961.720",,"35,626.289",5.132,"1,553.430"
Antigua and Barbuda,33.239,101.083,101.640,,-1.191,-5.149,8.048,8.555,,,0.097,0.849,1.031,-0.181,,-0.056,,3.790,-0.108,3.619
Argentina,17.395,436.015,530.979,,-21.107,-20.846,12.155,12.402,9.825,,44.939,"7,261.830","8,220.032",-958.202,-808.481,-87.627,,"19,384.510",-3.995,692.977
Armenia,17.448,290.543,291.961,,9.479,11.902,13.853,10.810,18.900,,2.969,"1,565.489","1,629.437",-63.948,,93.605,,"3,280.926",-1.118,"4,100.906"
Aruba,,125.654,128.327,,,,,,7.544,,0.112,1.420,1.400,0.020,,0.250,,4.203,0.060,3.463
Australia,22.746,115.150,116.100,,-0.932,-1.194,3.461,1.922,5.158,12.859,25.522,689.277,766.937,-77.660,-72.267,-62.026,551.102,923.036,8.267,"1,906.083"
Austria,25.343,129.994,130.332,,2.587,1.484,2.802,1.872,4.500,4.379,8.859,195.111,192.182,2.929,-3.272,7.092,190.517,280.426,11.710,374.761
Azerbaijan,20.345,256.115,259.796,,-0.544,2.891,2.368,5.489,4.848,,9.982,33.915,27.300,6.615,,7.258,,14.460,4.365,29.831
The Bahamas,23.605,106.809,107.911,,-5.352,-10.697,3.245,0.942,10.653,,0.381,2.426,2.646,-0.219,,0.109,,7.881,0.084,11.527
Bahrain,32.813,99.904,99.819,,-7.970,-9.999,1.319,2.978,4.000,,1.484,3.262,4.802,-1.539,,-0.895,,14.992,-0.794,12.905
Bangladesh,31.570,267.573,293.271,,4.170,1.901,13.946,8.588,,,166.586,"2,477.735","3,840.976","-1,363.241",,-841.093,,"9,106.882",-5.102,"11,057.936"
Barbados,15.517,191.683,199.600,,6.204,3.920,7.810,0.942,10.357,,0.287,3.156,2.772,0.385,0.385,0.634,12.263,12.380,-0.162,9.242
